url,label
https://flipkart.com,0
http://amazon-login.org,1
http://google-account-alert.cf,1
https://twitter.com,0
http://billing-steam.org,1
http://login-amazon.com,1
http://secure-apple-account.org,1
https://apple.com,0
https://stackoverflow.com,0
https://microsoft.com,0
http://paypal.verify-signin.org,1
http://microsoft-signin.ga,1
https://google.com,0
https://stackoverflow.com,0
http://paypal-signin.tk,1
http://secure-netflix-security.com,1
http://whatsapp.verify-signin.net,1
https://apple.com,0
https://apple.com,0
https://netflix.com,0
http://instagram-account-alert.com,1
https://google.com,0
http://paypal.verify-wallet.ga,1
https://facebook.com,0
https://github.com,0
https://facebook.com,0
http://crypto-steam.org,1
http://account-apple.net,1
https://microsoft.com,0
http://confirm-instagram.cf,1
http://google-crypto-secure.ga,1
http://whatsapp-verify.ga,1
http://microsoft.verify-signin.net,1
http://secure-facebook-login.ml,1
https://google.com,0
http://icloud-confirm-secure.org,1
http://paypal-password-secure.cf,1
https://apple.com,0
https://amazon.in,0
http://amazon-crypto-secure.ga,1
https://linkedin.com,0
https://linkedin.com,0
https://stackoverflow.com,0
https://openai.com,0
http://google-wallet.net,1
https://linkedin.com,0
http://apple-security.ml,1
https://apple.com,0
https://google.com,0
http://whatsapp-verify-secure.ga,1
https://flipkart.com,0
https://linkedin.com,0
http://amazon.verify-wallet.xyz,1
https://openai.com,0
http://amazon-security-secure.ml,1
http://secure-instagram-billing.ml,1
http://secure-google-password.org,1
http://paypal.verify-password.com,1
http://paypal.verify-wallet.ml,1
https://openai.com,0
https://google.com,0
http://facebook-account-password.ga,1
https://twitter.com,0
https://amazon.in,0
http://steam-account-urgent.tk,1
https://twitter.com,0
https://linkedin.com,0
https://facebook.com,0
http://secure-apple-account.tk,1
https://twitter.com,0
http://microsoft-account-secure.ga,1
http://binance-account-confirm.cf,1
https://apple.com,0
http://netflix.verify-secure.com,1
http://secure-instagram-password.cf,1
https://stackoverflow.com,0
https://apple.com,0
https://openai.com,0
https://apple.com,0
https://microsoft.com,0
https://amazon.in,0
https://twitter.com,0
https://linkedin.com,0
https://google.com,0
https://facebook.com,0
https://amazon.in,0
https://amazon.in,0
https://google.com,0
http://apple-account-alert.net,1
https://wikipedia.org,0
https://wikipedia.org,0
http://netflix-account-update.cf,1
https://stackoverflow.com,0
https://google.com,0
https://stackoverflow.com,0
https://apple.com,0
http://apple-billing-secure.xyz,1
http://steam.verify-login.xyz,1
http://whatsapp.verify-security.com,1
http://google.verify-verify.net,1
http://amazon.verify-billing.cf,1
http://binance-signin-secure.ml,1
http://steam-crypto-secure.tk,1
http://whatsapp.verify-security.tk,1
http://urgent-paypal.tk,1
https://openai.com,0
http://binance-account-confirm.cf,1
https://netflix.com,0
http://whatsapp.verify-account.xyz,1
http://password-steam.ga,1
https://amazon.in,0
http://banking-paypal.com,1
https://google.com,0
https://flipkart.com,0
http://binance-security-secure.cf,1
https://microsoft.com,0
http://binance-signin.xyz,1
http://account-apple.org,1
http://instagram-wallet-secure.xyz,1
http://secure-google-password.net,1
https://facebook.com,0
http://binance-account-crypto.ga,1
https://google.com,0
https://twitter.com,0
http://netflix-login-secure.ga,1
https://facebook.com,0
https://wikipedia.org,0
https://flipkart.com,0
https://linkedin.com,0
https://amazon.in,0
https://amazon.in,0
http://netflix.verify-banking.net,1
http://netflix-account-secure.tk,1
https://linkedin.com,0
https://flipkart.com,0
https://flipkart.com,0
https://github.com,0
https://facebook.com,0
https://github.com,0
http://binance-update.org,1
http://secure-paypal-alert.org,1
https://wikipedia.org,0
http://google-banking-secure.ml,1
https://github.com,0
http://steam.verify-confirm.cf,1
https://amazon.in,0
http://login-binance.org,1
http://binance-account-alert.ml,1
https://stackoverflow.com,0
https://linkedin.com,0
https://github.com,0
https://linkedin.com,0
https://netflix.com,0
https://linkedin.com,0
https://apple.com,0
https://netflix.com,0
https://flipkart.com,0
https://facebook.com,0
https://stackoverflow.com,0
http://bankofamerica-verify-secure.tk,1
http://facebook-secure-secure.tk,1
https://openai.com,0
https://wikipedia.org,0
http://apple-banking.xyz,1
http://binance.verify-banking.ga,1
http://secure-bankofamerica-confirm.ml,1
https://twitter.com,0
http://confirm-microsoft.cf,1
http://apple-crypto.com,1
